Price,Open,High,Low
72347.80,72732.50,72907.40,71460.00
72730.40,69957.20,73569.40,69753.20
69954.10,68011.90,70203.40,67610.00
68004.60,67084.70,68308.00,66924.60
67086.80,66694.50,67408.40,66443.80
66696.80,68191.90,68756.80,65644.20
68191.50,66659.20,68831.80,66510.60
66663.70,67428.60,67441.10,65246.70
67427.30,67370.80,67815.30,66609.40
67371.30,69030.50,69490.80,66845.50
69030.50,68373.30,69386.40,67443.90
68372.00,68426.40,68688.80,68025.50
68423.10,67416.50,68990.30,67190.90
67418.40,67618.10,67933.50,66677.30
67617.90,67075.10,68389.40,66766.60
67077.50,66084.10,67821.90,64850.60
66081.70,62870.70,66476.60,62463.70
62870.90,63205.40,63284.60,62054.20
63205.10,62506.60,63463.10,62486.10
62499.40,60317.50,63385.10,60080.60
60316.20,60628.90,61304.60,59075.70
60628.80,62157.00,62537.00,60355.50
62157.00,62226.90,63196.60,61883.20
62245.60,62819.80,64449.30,62175.80
62819.40,62062.00,62934.50,61495.40
62061.40,62085.50,62366.80,61705.70
62081.00,60751.40,62471.70,60469.30
60751.20,60642.00,61468.90,59904.40
60645.70,60834.20,62339.80,60002.70
60835.50,63329.90,64125.30,60195.90
63339.20,65607.00,65607.00,62901.10
65607.10,65862.80,66065.70,65436.80
65866.50,65775.60,66232.50,65438.10
65776.30,65168.80,66440.70,64839.20
65175.70,63157.20,65770.90,62693.30
63156.50,64262.90,64788.40,62952.80
64256.80,63335.90,64664.10,62740.80
63331.80,63575.40,64723.40,62650.00
63572.70,63351.20,63998.20,62394.60
63348.10,63201.20,63526.30,62778.60
63201.20,62942.40,64085.10,62367.10
62938.60,61754.80,63849.60,61596.50
61757.60,60308.50,61757.60,59210.70
60309.10,58213.10,61309.00,57630.20
58213.10,59126.20,59204.30,57527.80
59138.50,59995.60,60377.60,58717.90
59995.40,60514.80,60609.40,59494.30
60511.60,58134.40,60625.40,57656.80
58134.50,57335.50,58484.10,57329.60
57338.70,57638.00,57975.90,55576.60
57635.00,57045.60,58019.90,56415.30
57049.60,54868.00,57956.70,54595.40
54861.30,54161.40,55292.70,53642.40
54156.50,53965.00,54819.20,53754.30
53966.80,56179.70,56969.10,52644.60
56183.20,57970.70,58318.90,55744.60
57973.40,57490.40,58508.80,55732.10
57479.80,59133.70,59799.70,57436.90
59134.00,57309.00,59416.60,57185.80
57315.70,58975.70,59058.70,57232.40
58978.60,59120.40,59447.00,58761.10
